"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"ATP5PB","0.150688095637481","0.590408614799944","0.29658206493882","3.1888096982164","3.29882677838408","3.20664360770008","2.93395021879621","2.85980504877036","3.06518752670041","3.32332494976098","6.49124794977616","2.73322318077775","6.16429565035936","6.05215987159558","8.23257226063679","5.33689759118701","7.48309533357885",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"C1orf162","0.432621056318915","0.220376518520185","0.475958663461886","1.32425367163532","0.512749244925499","1.31406612234896","1.1357985310323","2.13743809610195","1.16073848741213","1.48901316424784","1.09106433721455","0.799710118042322","1.17143223325117","0.57124186586152","1.58514574587614","1.04289555428524","1.14861325788696",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ADORA3","0.129808615171206","0.644447493166594","0.525534530523174","1.5334614992749","5.8258594489026","1.43977652189401","0.392531855030374","2.39535493876672","1.14807071903991","1.28514599855173","0.230078756889559","0.424993912614339","0.201421411580515","0.135422219508377","0.849566770160401","0.182342688896404","0.19399147703478",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"RHOC","0.937057395247281","0.685863857509426","0.833481273003136","1.62353350343439","1.29808337378889","1.54802447228679","1.95146582287964","2.48333252917775","1.53946908610241","1.41943835548889","0.817928513335529","0.590877335572368","0.711915688470019","1.14382575463763","1.40530715642609","0.742813159878297","0.828408011242849",0.988911563996072,1,0.999963831301336,1,0.999904061893522,1
"PPM1J","0.715061089599051","0.494159734432692","0.474206541903967","2.887081557848","2.48362090008073","2.71741223274428","3.39078042788301","5.08371804796642","2.74774648657879","2.83743445962092","0.375613469627006","0.458688411979585","0.394855224757529","0.282004195126696","0.67899668482381","0.356392359641302","0.439800526306655",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"TAFA3","0.513951209677229","0.474832051390419","0.532657872814658","2.3069373881249","5.22989233438248","2.26286445813262","4.09954209739893","5.25450835563904","2.72096220057771","1.88123845882645","0.0474404456314719","0.0281881193222776","0.0486046347956352","0.0124163704373989","0.0683886391171418","0.0325683102048675","0.0582837595250022",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"SLC16A1-AS1","0.500880291273956","0.452228310681366","0.928536405212603","0.0761790831269418","6.00127514072621","0.00790185015902028","6.17738136057881","5.97532756898998","0.0112688330673502","0.0215081740419517","16.2831526956273","14.7576178164212","15.182637921904","22.5234730131903","27.877378990427","15.5489973040921","15.8219887337065",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"AP4B1-AS1","0.527413378031448","0.61166306146062","0.206330952841189","4.64290551684246","4.14469215339635","4.59578259283028","4.91735822054196","5.49684115181101","4.52367835372373","4.75596457210787","1.50623881323829","0.674870514857631","1.27066776787343","1.82666801281042","2.73122192893559","1.70096719226429","0.891156905045247",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"BCAS2","0.511920780753647","0.474486777738359","0.0678075589677298","3.07465250628494","3.47080658578754","3.15396316090255","2.77461723733631","2.92987473612581","2.88471850708013","3.31598979413176","3.85027432699558","2.03722795201853","3.75463442197559","3.426414727422","4.31568127963876","3.02055111862471","5.13198288625518",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"NGF-AS1","0.974499169637044","0.841078321764111","0.972304706935543","4.90004639958216","4.78558717037552","4.86270731002788","5.0971910706445","5.01461589087075","4.8183364623799","4.92846175341524","0.261631978812037","0.231757694131627","0.239263176503261","0.287723178861301","0.398316657453651","0.248332114723277","0.224972593981467",0.99379863947077,1,0.999963831301336,1,0.999904061893522,1
"CASQ2","0.601586951105153","0.974973608099934","0.93495307368073","5.48573676273721","5.24265715343179","5.41559268405579","5.50253555943574","6.06542955888797","5.36075210547264","5.4206753162104","0.0736022114205573","0.128631828176011","0.0761343088931594","0.0686750465099377","0.084130364130092","0.0746163448570423","0.0807798449170619",0.973910260030841,1,0.999963831301336,1,0.999904061893522,1
"ATP1A1","0.583487045242914","0.74679960015067","0.942054571081841","3.11541317270383","2.94102689315575","3.10713111775488","2.94728552826892","3.01777805017474","3.09602464196036","3.11070687167818","52.0029515555472","43.9111516650827","51.3604236904264","48.8614196129669","50.6028549404783","47.5389559334329","55.3530421502566",0.973910260030841,1,0.999963831301336,1,0.999904061893522,1
"ATP1A1-AS1","0.605602529434244","0.702510599561514","0.0947220236480735","4.67811581240241","4.35983005632032","4.63620862573377","4.9173859529311","4.70797527515885","4.62905224346825","4.93784678710956","5.37634310259591","2.6731562557637","4.53464182407499","6.15616199549064","3.25694224033644","6.78403949683933","2.34044141720185",0.973910260030841,1,0.999963831301336,1,0.999904061893522,1
