GENE_SYMBOLS,refseq_ids
EIF4G1,NM_001194946
MANBAL,NM_001003897
GABARAP,NM_007278
FAM120B,NM_001286379
NUP93,NM_001242795
RNF5,NM_006913
CHMP5,NM_001195536
DNAJA2,NM_005880
MRPL49,NM_004927
PSMD3,NM_002809
DSTN,NM_001011546
GPX4,NM_001039847
NCKIPSD,NM_016453
ATP6V1D,NM_015994
EID1,NM_014335
ABHD14A,NM_015407
FAM32A,NM_014077
CHST1,NM_003654
KLHL26,NM_001345981
EIF3I,NM_001394168
DIRAS1,NM_145173
CBLN4,NM_080617
GLRX5,NM_016417
MYO1D,NM_001303279
GNL1,NM_005275
UBE4B,NM_001105562
ARMCX3,NM_016607
ERH,NM_004450
RNF41,NM_001242826
DENND6A,NM_152678
SBF2,NM_001386339
RBFOX1,NM_001142333
NUDT11,NM_018159
C9orf78,NM_016520
CDKN2AIPNL,NM_080656
NACAD,NM_001146334
AMBRA1,NM_001267782
AMER2,NM_152704
SBDS,NM_016038
RCN2,NM_001271837
PDK2,NM_001199898
TMEM158,NM_015444
TCP1,NM_001008897
CBX6,NM_001303494
YPEL5,NM_001127399
C2CD3,NM_001286577
AUH,NM_001306190
PSMD2,NM_001278708
WDR1,NM_005112
GRPEL1,NM_025196
TMED7,NM_181836
MAP6D1,NM_024871
SIDT1,NM_001308350
PDE8A,NM_001243137
ITM2B,NM_021999
USP11,NM_001371072
AIG1,NM_001286587
TSPAN5,NM_005723
PCMT1,NM_001252049
DEXI,NM_014015
ARPC5L,NM_030978
GET3,NM_001371488
ADGRB2,NM_001294335
CCDC106,NM_001370467
TWF2,NM_007284
SEPTIN3,NM_001363845
MCRIP1,NM_001093767
FBXO45,NM_001105573
SLC38A6,NM_001172702
MBTD1,NM_017643
DCTN5,NM_001199011
NAP1L2,NM_021963
MED27,NM_001253881
SF3A1,NM_001005409
SRSF8,NM_032102
MLF2,NM_001382225
CCSAP,NM_001410936
BTBD3,NM_001282550
TMEM163,NM_030923
FMNL2,NM_001004417
BCL7B,NM_001197244
CLPTM1,NM_001199468
HNRNPA1,NM_002136
CREB3,NM_006368
FSCN1,NM_003088
NRN1,NM_001278710
ABCC1,NM_004996
PTPN9,NM_002833
EEF1G,NM_001404
SH3GLB2,NM_001287045
RNASEK,NM_001004333
SCG5,NM_001144757
PIR,NM_001018109
CEBPB,NM_001285878
SYNGR1,NM_004711
PCDH8,NM_002590
PRH1,NM_001291314
SLC2A3,NM_006931
PEA15,NM_001297576
CHST2,NM_004267
AASDHPPT,NM_015423
MAGEH1,NM_014061
SNU13,NM_001003796
CTSF,NM_003793
H2AFV,NA
ARL6IP1,NM_001313858
POLR2C,NM_002694
IMP4,NM_001320304
PRRT1,NM_001363780
TMEM35A,NM_021637
STK38,NM_001305102
GTF2F1,NM_002096
ORMDL3,NM_001320801
