GENE_SYMBOLS,refseq_ids
SNU13,NM_001003796
CNIH2,NM_182553
SPINT2,NM_001166103
SPRED3,NM_001039616
UBA52,NM_001033930
TMEM198,NM_001005209
GSPT2,NM_018094
SLC2A3,NM_006931
DEXI,NM_014015
RNASEK,NM_001004333
ARPP19,NM_001306191
SOWAHA,NM_175873
EEF1A1,NM_001402
CLU,NM_001831
CFL2,NM_001243645
HAPLN4,NM_023002
SPATA2L,NM_152339
CBX6,NM_001303494
FARSA,NM_004461
DIRAS2,NM_017594
HRAS,NM_001130442
ANKRD29,NM_001308238
HIGD1A,NM_001099668
ATP6V1G2,NM_001204078
LDOC1,NM_012317
TCP1,NM_001008897
WDR1,NM_005112
TMEM271,NM_001362796
NCKIPSD,NM_016453
NICN1,NM_032316
SET,NM_001122821
PRELID1,NM_001271828
CKB,NM_001362531
ERLEC1,NM_001127397
KBTBD6,NM_152903
PEBP1,NM_002567
TMEM47,NM_031442
CLPTM1,NM_001199468
EIF4G1,NM_001194946
ST6GALNAC6,NM_001286999
RLIM,NM_016120
TMED7,NM_181836
ICMT,NM_012405
RABAC1,NM_006423
PRRT1,NM_001363780
ILF2,NM_001267809
MRFAP1L1,NM_152301
RAB3A,NM_002866
MSL3,NM_001193270
RAB39B,NM_171998
ATXN7L3,NM_001098833
H2AFV,NA
DIRAS1,NM_145173
ENTPD6,NM_001114089
MANBAL,NM_001003897
VXN,NM_152765
MYDGF,NM_019107
LRRC59,NM_018509
TUFM,NM_001365360
ORMDL3,NM_001320801
DBNDD2,NM_001048221
DUSP7,NM_001947
CHST1,NM_003654
ATMIN,NM_001300728
ADGRB2,NM_001294335
GABARAP,NM_007278
PGM2L1,NM_173582
PDP1,NM_001161778
KLHL21,NM_001324309
CREB3,NM_006368
RSL24D1,NM_016304
CACNB3,NM_000725
RFK,NM_018339
TMEM160,NM_017854
CRADD,NM_001320099
MEPCE,NM_001194990
ID2,NM_002166
NAT14,NM_020378
ANKS6,NM_173551
DCAF11,NM_001163484
BOD1,NM_001159651
SLITRK1,NM_001281503
MAPK8IP1,NM_005456
TMEM109,NM_024092
GABRD,NM_000815
SELENOM,NM_080430
CAMK2N1,NM_018584
PGK1,NM_000291
RGS4,NM_001102445
NAP1L5,NM_153757
LIN7C,NM_018362
ARL8A,NM_001256129
WDR83OS,NM_016145
SMIM29,NM_001008703
B3GAT3,NM_001288721
TMEM132A,NM_017870
EGR3,NM_001199880
NBL1,NM_001204084
EFNA3,NM_004952
RBM15B,NM_013286
COPRS,NM_001330176
TMEM70,NM_001040613
AAMP,NM_001087
MDH2,NM_001282403
CHRM1,NM_000738
COPZ1,NM_001271734
EID1,NM_014335
RACK1,NM_006098
B3GALT1,NM_020981
TMEM219,NM_001083613
ARL2,NM_001199745
GUK1,NM_000858
DHRSX,NM_145177
CDV3,NM_001134422
KEAP1,NM_012289
PELI3,NM_001098510
SH2D5,NM_001103160
MAPK8IP2,NM_012324
SAP18,NM_001366643
NHP2,NM_001034833
PDK2,NM_001199898
GPRASP2,NM_001004051
TSR2,NM_001346789
TOMM22,NM_020243
YWHAE,NM_006761
CEND1,NM_016564
SEZ6L2,NM_001114099
MAP6D1,NM_024871
TMEM158,NM_015444
C22orf39,NM_001166242
SMIM15,NM_001048249
ZFAND5,NM_001102420
TMA7,NM_001329417
TOR1A,NM_000113
IMP4,NM_001320304
PTMS,NM_001330333
SIGMAR1,NM_001282205
USP11,NM_001371072
TLE5,NM_001130
PPP1CC,NM_001244974
NEIL2,NM_001135746
C11orf87,NM_207645
SNX17,NM_001267059
WBP11,NM_016312
MAST3,NM_001393501
PHAX,NM_032177
COL19A1,NM_001858
AASDHPPT,NM_015423
CACYBP,NM_001007214
TNFAIP8L1,NM_001167942
BAIAP2-DT,NM_001004336
THAP5,NM_001130475
IFIT1,NM_001270927
TNFSF12,NM_003809
DYNLT3,NM_006520
PMM2,NM_000303
CBLN4,NM_080617
IRF2BPL,NM_024496
P4HB,NM_000918
BNIP3,NM_004052
TMEM183A,NM_001322955
TWF2,NM_007284
CHST2,NM_004267
UBE2S,NM_014501
DGCR6L,NM_033257
RNF26,NM_032015
YIPF3,NM_015388
SCN3B,NM_001040151
KLHL26,NM_001345981
