GENE_SYMBOLS,refseq_ids
NUBP2,NM_001284501
NAPG,NM_003826
POMC,NM_000939
PSENEN,NM_001281532
SSNA1,NM_003731
AIP,NM_001302959
MRPL9,NM_001300733
ISCA1,NM_030940
RAN,NM_001300796
FAM71E1,NA
YWHAH,NM_003405
TIMM17B,NM_001167947
NDUFA2,NM_001185012
LKAAEAR1,NM_001007125
RPS11,NM_001015
GTF3C6,NM_138408
CDKN2D,NM_001800
MRPL2,NM_001300848
CAVIN3,NM_145040
MOAP1,NM_022151
BCAN,NM_021948
RPS4X,NM_001007
MRPS10,NM_018141
VMO1,NM_001144939
RPL28,NM_000991
NDUFAF4,NM_014165
NPM3,NM_006993
TINF2,NM_001099274
C4orf48,NM_001141936
PTPRC,NM_001267798
GGH,NM_001410926
MRPS18A,NM_001193343
CHMP3,NM_001005753
ARPC2,NM_005731
BLOC1S1,NM_001487
WBP4,NM_007187
PSME1,NM_001281528
TRAPPC2L,NM_001318524
TMEM256,NM_152766
TMEM11,NM_003876
RPL23A,NM_000984
GRPEL1,NM_025196
BLOC1S2,NM_001001342
FABP6,NM_001040442
MRPL17,NM_022061
ICAM1,NM_000201
COMMD6,NM_001287392
C4orf3,NM_001001701
RBIS,NM_001099670
CCNDBP1,NM_012142
PSMC5,NM_001199163
FXYD1,NM_001278717
EIF3K,NM_001300992
POLR3GL,NM_001330685
ITM2C,NM_001012514
AP2M1,NM_001025205
NACA,NM_001113201
TIMM10B,NM_012192
JOSD2,NM_001270639
SVBP,NM_199342
ERP29,NM_001034025
WASIR2,NR_130735
FAM200B,NM_001145191
DCAF11,NM_001163484
MMP24OS,NM_001355003
POLR2J,NM_001371100
ENDOG,NM_004435
NDUFAF8,NM_001086521
RPRML,NM_203400
SYF2,NM_015484
DPM2,NM_001378436
FABP3,NM_001320996
PHLDA2,NM_003311
MRPL30,NM_016503
DPH3,NM_001047434
YWHAQ,NM_006826
MZT1,NM_001071775
SF3B6,NM_016047
RAB14,NM_016322
NR2C2AP,NM_001300945
LENG1,NM_024316
CNFN,NM_032488
CALM2,NM_001305624
TUSC2,NM_007275
ANTKMT,NM_001271285
SNHG6,NR_002599
NDUFB4,NM_001168331
PSMG3,NM_001134340
SMIM1,NM_001163724
OPTN,NM_001008211
GALNTL5,NM_145292
SRRD,NM_001013694
BORCS7,NM_001136200
MCRIP1,NM_001093767
ZNF708,NM_001297560
RPS3,NM_001005
SUSD6,NM_014734
ATP5F1D,NM_001001975
GPKOW,NM_015698
BLOC1S6,NM_001311255
SEC62,NM_003262
DYNLL1,NM_001037494
CSTB,NM_000100
MOCS2,NM_004531
COMMD3,NM_012071
THYN1,NM_001037304
SEPHS2,NM_012248
SUMO2,NM_001005849
SHC3,NM_016848
POLD4,NM_001256870
EMP1,NM_001423
EXOSC5,NM_020158
