GENE_SYMBOLS,refseq_ids
NABP2,NM_024068
COQ10A,NM_001099337
NACA,NM_001113201
DDIT3,NM_001195053
DCTN2,NM_001261412
TSFM,NM_001172695
GIHCG,NR_038269
LLPH,NM_032338
NDUFA12,NM_001258338
ACTR6,NM_022496
ISCU,NM_001301140
SSH1,NM_001161330
ALKBH2,NM_001001655
ARPC3,NM_001278556
GPN3,NM_001164372
VPS29,NM_001282150
MAPKAPK5-AS1,NR_015404
ERP29,NM_001034025
RPL6,NM_000970
RITA1,NM_001286215
COX6A1,NM_004373
TRIAP1,NM_016399
SRSF9,NM_003769
DYNLL1,NM_001037494
POP5,NM_015918
C12orf43,NM_001286191
RSRC2,NM_023012
ARL6IP4,NM_001002251
TMED2,NM_001321445
RAN,NM_001300796
SAP18,NM_001366643
MRPL57,NM_024026
RPL21,NM_000982
GTF3A,NM_002097
POMP,NM_015932
WBP4,NM_007187
SERP2,NM_001010897
TPT1,NM_001286272
NUDT15,NM_001304745
MZT1,NM_001071775
COMMD6,NM_001287392
UBAC2,NM_001144072
GAS6-DT,NR_044993
CCNB1IP1,NM_021178
APEX1,NM_001244249
PIP4P1,NM_001100814
DAD1,NM_001344
MRPL52,NM_001318870
PSMB5,NM_001130725
C14orf119,NM_017924
DCAF11,NM_001163484
PSME1,NM_001281528
EMC9,NM_001346874
MDP1,NM_001199821
NEDD8,NM_006156
GMPR2,NM_001002000
TINF2,NM_001099274
CFL2,NM_001243645
SLC25A21-AS1,NR_033240
RPS29,NM_001030001
RPL36AL,NM_001001
DHRS7,NM_001322280
CHURC1,NM_001204063
ATP6V1D,NM_015994
EIF2S1,NM_004094
PIGH,NM_001363694
ERH,NM_004450
COX16,NM_001204090
ADAM20,NM_003814
PNMA1,NM_006029
ISCA2,NM_001272007
ACYP1,NM_001107
ERG28,NM_007176
SLIRP,NM_001267863
KCNK10,NM_021161
TTC7B,NM_001010854
NDUFB1,NM_004545
MOAP1,NM_022151
TMEM251,NA
GON7,NM_032490
IFI27L1,NM_145249
IFI27L2,NM_032036
GLRX5,NM_016417
LBHD2,NM_001330236
EIF5,NM_001969
COA8,NM_001302652
ATP5MPL,NA
SIVA1,NM_006427
NUDT14,NM_001318380
GABRB3,NM_000814
SCG5,NM_001144757
EMC7,NM_020154
EMC4,NM_001286420
NOP10,NM_018648
SRP14,NM_001309434
GCHFR,NM_005258
RHOV,NM_133639
CHP1,NM_007236
CCNDBP1,NM_012142
SERF2,NM_001018108
EIF3J,NM_001284335
BLOC1S6,NM_001311255
CTXN2,NM_001145668
GABPB1-IT1,NM_017976
SCG3,NM_001165257
ARPP19,NM_001306191
RSL24D1,NM_016304
GTF2A2,NM_001320929
RPS27L,NM_015920
PPIB,NM_000942
UBAP1L,NM_001163692
SNAPC5,NM_001329613
RPLP1,NM_001003
LARP6,NM_001286679
COX5A,NM_004255
IMP3,NM_018285
RPS17,NM_001021
ZNF592,NM_014630
ALPK3,NM_020778
MRPL46,NM_022163
