"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"MKRN1",0.00552562277046324,"2.79389932997626","3.06822850363896","2.91907313491526","4.62660768473434",0.164373133335691,1,-0.460557771730649
"USP54",0.00550558104449187,"5.51437711691496","6.02292696318842","5.19921066127783","7.41655049590186",0.164373133335691,1,-0.355207238190452
"GLRX5",0.00551600947908523,"3.26299410808902","3.27566137137389","3.61980740646515","5.53689210600039",0.164373133335691,1,-0.425012529859362
"RFESD",0.00555603145430007,"0.583610600393396","2.75295272935093","0.171591245638384","0.360437762168573",0.164715544747209,1,-0.742204129078293
"RPL26",0.00563677401746881,"3.51230120378764","3.51302224824569","12.6478704961459","27.5654823210499",0.166542787580536,1,-0.779075488700794
"SUMO1",0.00571611407428129,"3.03107501522036","3.25256691630299","5.82094272951077","8.65614101213412",0.167041358416426,1,-0.396806783010928
"NDUFAF4",0.00571993016768071,"2.71686279803263","3.14169991759351","3.98339354575196","5.13175319243953",0.167041358416426,1,-0.253313248027121
"EXOSC4",0.00573030818798893,"2.63065836353524","3.38904959131527","0.471879435183655","0.614476319976514",0.167041358416426,1,-0.264046873806914
"MCRIP2",0.00569710191887597,"2.96796272004002","3.41371144067901","3.18391680111572","4.42071001163863",0.167041358416426,1,-0.328188181968462
"KRT222",0.00575926199192017,"2.66299423020551","3.05282161062331","3.2283852324882","4.86033954035419",0.167325758405254,1,-0.409126215535759
"GPX4",0.00581653246696158,"2.882755480972","3.19166504008884","18.8513062817406","25.9735820515073",0.168428229176203,1,-0.320497736266326
"EIF1B",0.00596312602138133,"2.85251366565636","3.13948051837038","12.3721844181604","17.2468499445554",0.170408545581507,1,-0.332178754089017
"ETFRF1",0.00593097572525679,"0.603708712563791","0.565423375434856","2.44146074331036","0.772641347057354",0.170408545581507,1,1.15053683887849
"ISCU",0.005919060749011,"3.26274137850607","3.28162074302229","10.3466158474351","15.7471374454855",0.170408545581507,1,-0.419999104277907
"NDUFAF8",0.00595885839416085,"3.8736793888795","3.79606954227385","2.61388665669655","4.95767349967228",0.170408545581507,1,-0.640098324050711
"POP5",0.00609286568349288,"3.85647008743332","3.60228989856643","0.627996252463265","1.33786317538119",0.17107581265319,1,-0.756294775871822
"NDUFB1",0.00610424251206311,"3.70435305734562","3.7942469375472","2.08932048431012","6.6826525795041",0.17107581265319,1,-1.16267611548114
"NT5C3B",0.00605823104161412,"3.01952279712672","3.43647542957741","3.27317737317998","3.93466785895637",0.17107581265319,1,-0.184065284539176
"ATP5PD",0.00607354223902612,"3.3326893626965","3.51853373270473","1.73529318507959","4.2455513187136",0.17107581265319,1,-0.894695304296844
"RNF126",0.00606607713856081,"2.87861376164763","3.62754350984176","1.01242017197106","1.61413397932185",0.17107581265319,1,-0.466454902742201
"TCEAL2",0.00607781112430619,"3.38059579754365","3.45541246287283","7.20156711371348","11.936654959171",0.17107581265319,1,-0.505315257519568
"SRP14",0.00616103241527051,"2.71028834633974","2.99174925514471","17.2544108248798","24.2010526466026",0.172113969652236,1,-0.338328319225406
"RPS3A",0.00634349382351651,"2.96807023527364","3.27565770603229","10.859649369358","19.4415883457954",0.175519434781809,1,-0.582360473171799
"RPS12",0.00636348570342493,"3.25663162469717","3.44432313462956","7.74310299239828","18.015201428452",0.175519434781809,1,-0.844413414617511
"RBMS2",0.006353426736525,"4.95918999372164","5.16946985842708","3.02334613280116","1.97899541682811",0.175519434781809,1,0.423774858296727
"SEC11C",0.00631109700866682,"3.12658937857946","3.2455410860062","1.5262587736367","3.40929667796306",0.175519434781809,1,-0.803686522306866
"GEMIN6",0.00667830561449435,"2.81741400921406","3.16892590925885","0.272526309843816","0.720955450424922",0.17920909626819,1,-0.972842187455392
"RPS27A",0.0068246560390046,"3.34315989682221","3.45690838821708","14.0990240525779","28.7786645259091",0.17920909626819,1,-0.713528718670868
"H2AFZ",0.00684679085099898,"2.88646172218709","3.28435448481734","8.95452282896077","11.6333799415312",0.17920909626819,1,-0.261719798306153
"CAMK2A",0.00671919611043205,"4.475216153906","0.183937502426236","19.5978681098395","2.72645395435148",0.17920909626819,1,1.97241894336252
"SRSF3",0.00684485495106411,"2.89060767884336","3.19424889874837","6.53500578469056","9.15188260578665",0.17920909626819,1,-0.336786375128452
"GGH",0.00678507612059668,"1.85102495667011","2.73165198793871","1.29752850794117","0.608720149446793",0.17920909626819,1,0.756857948858809
"PCAT1",0.00674290906915131,"4.61788024751734","6.15612534039592","0.714196665218255","0.631761616966346",0.17920909626819,1,0.122646231245642
"RPL8",0.00661869196192142,"2.77049959466232","3.13197369394316","13.2957368950917","18.4749483682247",0.17920909626819,1,-0.32897222250498
"SEC61B",0.00680340260658522,"3.2985519580757","3.45657248288039","1.7609634633401","3.38485773090466",0.17920909626819,1,-0.653450794584708
"MRPL50",0.00670544416426909,"2.59491008951475","3.03925975163119","2.52410252537424","3.14127833317871",0.17920909626819,1,-0.218744265499853
"SPACA9",0.00673616766420059,"3.93579076166186","3.31391969322609","0.398763010643699","0.953620168615457",0.17920909626819,1,-0.871898163921397
"COMMD3",0.00678632950488051,"2.56038890947048","3.01161721776989","1.04486321564303","1.79276450728352",0.17920909626819,1,-0.539872863215438
"C12orf10",0.0067306708937277,"2.87524973954139","3.1646675351712","2.39778721146305","3.85333084600344",0.17920909626819,1,-0.474391612243937
"SAMD4A",0.00672926266450016,"4.83478744287549","5.11276499658058","38.7966989486018","25.4062169591",0.17920909626819,1,0.423341258121142
"MESP1",0.0066233691429804,"2.72833817641618","3.07395783448026","1.33451550929688","2.17991659407412",0.17920909626819,1,-0.490718304871562
"PMM1",0.00662650421363703,"3.57268372252795","3.69913961711348","1.47671265038328","2.7288467062532",0.17920909626819,1,-0.614060632898512
"BEX5",0.00682505104976886,"3.8781717971471","3.8157415445631","7.4410187989711","12.5293591257808",0.17920909626819,1,-0.521066845599832
"HEIH",0.00690570808851828,"3.43775581666733","3.36096175654691","1.61248598817598","2.55201051285382",0.179907386082884,1,-0.459104404784116
"NDUFB9",0.00692855723504276,"3.99440868434355","3.8789599857051","3.39059841926557","7.24600706047981",0.179907386082884,1,-0.759444136198513
"DRAP1",0.00693539257960636,"3.4632049233613","3.60465965942305","3.08715958693937","5.43493867947218",0.179907386082884,1,-0.565596797350476
"COQ10B",0.00702762932624849,"3.4680907453585","3.29010709588178","1.994054813551","3.33453064562331",0.180686776423545,1,-0.514161773113266
"RIPPLY2",0.00702367977182729,"2.59177046363523","2.86191736441576","0.797543293579783","1.7191152270922",0.180686776423545,1,-0.768028914797637
"GMPR2",0.00702230588375889,"3.40650871220183","3.42721335076846","1.58373507988755","2.55307765833365",0.180686776423545,1,-0.477513524399714
"Z95115.1",0.00711838996323852,"3.4589113654391","3.42830782796201","0.476018946406722","0.92370402238778",0.182482020351726,1,-0.662934041421705
"ZNF17",0.00717162814105526,"4.80629893254309","5.82409059264684","0.803382267553885","0.812856147168596",0.183307656532075,1,-0.0117235032110122
"LSM3",0.00724583176678774,"3.20958100556502","3.3528759663344","1.50046294524156","2.78890853231093",0.184049596240792,1,-0.619876621582103
"ZBBX",0.00726400425732358,"4.81420651050204","5.07630733083914","4.17595029773709","2.688781658806",0.184049596240792,1,0.440253772551841
"FIS1",0.00726038349955953,"3.23154925010443","3.39755980932134","3.13201433060527","5.949199636397",0.184049596240792,1,-0.641580341955783
"COA3",0.00729455893919191,"2.93354047247824","3.15296257956283","2.5315263206788","3.86590096269692",0.184288045547816,1,-0.423372353305824
"KLHL15",0.00731629153541913,"2.93820297144142","2.27894086171392","1.53454649235473","0.857982229738263",0.184302881568535,1,0.581406783636147
"PRADC1",0.00736595885406505,"3.491648393813","3.19367714559212","0.415003420263525","1.19824097490172",0.185019300783951,1,-1.06032314431653
