"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"NR2C2","P49116","0.149861876207985","2044.57339524163","2145.29091108761",0.401584602431137,1
"RNASEL","Q05823","0.141303816545717","433.973616124118","420.056670778583",0.39080725374636,1
"GTF2F2","P13984","0.12061597230279","1762.41829074855","1734.73583386238",0.363285483809514,1
"PLSCR4","Q9NRQ2","0.0877721724570665","3824.63535538307","3963.94958887733",0.314639971430473,1
"CERS1","P27544","0.250613310715897","4128.65379652462","4064.57678712677",0.513248902375731,1
"MIEF1","Q9NQG6","0.20780195417887","2096.23702054472","2061.79073379161",0.46821351498088,1
"RNASE1","P07998","0.386305613035931","3716.09906134211","3587.97697724765",0.642342543921904,1
"FAM118B","Q9BPY3","0.0132800981000603","1993.74337379469","1932.21688428889",0.131199815407814,1
"TMEM151B","Q8IW70","0.0170186959165573","473.194350643678","491.763329924314",0.145496816074375,1
"ERCC2","P18074","0.357486647068006","573.102261987534","586.834121951899",0.616372608161827,1
"NUP43","Q8NFH3","0.771920575423819","881.673458366421","884.181585351056",0.901343003042696,1
"MAPKAP1","Q9BPZ7","0.0597472061452413","646.967067535898","671.123163373467",0.265576262951686,1
"RBP4","P02753","0.248446623245128","841.27207250975","865.658524287942",0.510888878291199,1
"NHP2","Q9NX24","0.446813050950974","1235.95834710715","1252.92713719219",0.691228901233599,1
"CSTF1","Q05048","0.343002281861095","1179.47906441578","1193.35472272134",0.604245511010909,1
"NELFA","Q9H3P2","0.5884456255066","519.215426290416","533.349514780694",0.794611808044651,1
"TMEM205","Q6UW68","0.973095980060703","1750.80353063533","1748.40936558084",0.991882596946821,1
"POM121","Q96HA1","0.047575975330328","386.639540100389","403.286949697236",0.23922694416421,1
"NAT8L","Q8N9F0","0.00050396350445932","3357.70354848763","3191.49158996595",0.0259077027884548,1
"MDK","P21741","8.17626864617416e-07","3135.54486586811","5851.705650619",0.000638893632012049,0.00638893632012049
"ZDHHC17","Q8IUH5","0.502670911726998","3009.84527485125","3044.90280604487",0.736728201858309,1
"JPT2","Q9H910","0.480083196578593","1215.89400802595","1232.97699348558",0.7165940970516,1
"CHRM3","P20309","0.0262125344640023","1436.86404738583","1519.87593114494",0.180144893844955,1
"RELL1","Q8IUW5","0.0234952374664248","1048.11073341195","1114.0799130588",0.17149753298596,1
"RPS26","P62854","0.422470760418458","5792.88120879165","5727.21332710391",0.668256380953407,1
"OSBPL5","Q9H0X9","0.0125294017977446","373.557765628538","396.816140611395",0.128147572837142,1
"ENC1","O14682","0.210722356071616","646.596552025781","665.754382963732",0.470990986940391,1
"AHSG","P02765","0.61376408259148","3477.34121515521","3278.45122229367",0.812345328942095,1
"PLCG2","P16885","0.830125264368945","397.079757495845","399.933801542103",0.932250476541957,1
"ANKH","Q9HCJ1","0.0723680713911059","2847.78991095348","2783.28767285496",0.288163519587756,1
"CARHSP1","Q9Y2V2","0.320274523670805","5532.80700218735","5640.15022290559",0.581613750371126,1
"SELENOW","P63302","0.787626479902631","6683.7371760154","6728.96496943318",0.91021679607713,1
"LRRTM1","Q86UE6","0.401474386397927","2772.36764299104","2737.47265021907",0.653374570905919,1
"BCL2L2","Q92843","0.0999749848826341","2522.24520616354","2477.01552724659",0.333990821664345,1
"MT3","P25713","0.202395924096426","26562.8616462814","27543.9662063045",0.46450419657686,1
"LANCL3","Q6ZV70","0.0309169848451365","816.043837799554","837.655682653013",0.193214423151279,1
"RUNDC3B","Q96NL0","0.355217816284871","1464.39707279737","1484.9219399762",0.614595149207897,1
"GTF2B","Q00403","0.0906640520302743","1183.8949670253","1228.3435756203",0.319408883031814,1
"GLA","P06280","0.789899046975967","1285.28639843848","1283.69374711963",0.911843869562743,1
"FGD1","P98174","0.118500111170839","444.764435273162","435.285487751513",0.360716738873758,1
"TMEM9B","Q9NQ34","0.387898338292116","3074.85800069742","3100.0290841073",0.643151242471925,1
"FXN","Q16595","0.203426821625724","5600.18195085044","5498.36972839753",0.465484675278938,1
"RAPGEFL1","Q9UHV5","0.070981415145998","462.514610458706","495.152199774196",0.285474530246073,1
"ALG9","Q9H6U8","0.736861929929229","1245.36781885819","1261.51213616732",0.885412751109795,1
"RBM27","Q9P2N5","0.418203223049484","457.315303068403","467.473344853284",0.664735554293871,1
"STAT4","Q14765","0.00974364976273007","791.284903753013","747.841824930141",0.113743233526996,1
"TANGO6","Q9C0B7","0.424264268779056","383.924463557716","389.754201581521",0.669467083247081,1
"PLA2G4C","Q9UP65","0.0103290673734","667.00252164212","715.519434728588",0.117352555453354,1
"MID2","Q9UJV3","0.174891776802923","515.695618467773","527.373761513023",0.433458505596888,1
"MRPL40","Q9NQ50","0.33092111408133","2230.82059832649","2189.03419986513",0.59280549872341,1
"RNF114","Q9Y508","0.0811074223881326","2062.56448003576","2108.52124816961",0.303171470542091,1
"THNSL2","Q86YJ6","0.471933936734049","404.763481163588","393.209710678039",0.710537915537545,1
"COX6A1","P12074","0.113894293411892","1936.57585590979","2100.28388630081",0.35478441618605,1
"ACY3","Q96HD9","0.0986944040681837","789.25142759326","823.196588287445",0.331182823599365,1
"RTF2","Q9BY42","0.0030945240558945","1411.62631745828","1497.32798930948",0.0652949166374942,1
"SPRYD3","Q8NCJ5","0.90338685660331","749.568367062487","741.495788985864",0.96633331930161,1
"TPRKB","Q9Y3C4","0.818869758303553","856.631560947","852.445618612233",0.92686934695786,1
"CNOT7","Q9UIV1","0.142575896778518","700.130660518165","724.162434156943",0.391607909439126,1
"FAM107A","O95990","0.355989850188434","3490.78085737428","3688.46438526799",0.614935742572227,1
"SRP9","P49458","0.207267624700554","13072.2780360002","12756.6670068323",0.467659736961207,1
"RBM6","P78332","0.156348109045901","438.610436239507","453.787151858599",0.410378371390842,1
"TMEM33","P57088","0.105590956272074","6973.74570978971","6844.49593962851",0.342295356965795,1
"NSG2","Q9Y328","0.451540323628328","1941.81230109636","1965.08366484428",0.694827902487545,1
"SAT2","Q96F10","0.220207953858921","1869.40946836662","1948.64083104082",0.48111660989666,1
"SCO1","O75880","0.00861967298333572","8087.04592794372","7785.74858144708",0.107939302390682,1
"MRPL47","Q9HD33","0.120103666995438","2570.96587875351","2492.49020589565",0.362771570893835,1
"GEMIN4","P57678","0.870840168803458","713.614151683337","715.798653326677",0.951313445970952,1
"ABCG2","Q9UNQ0","0.911144179322229","1261.6371149584","1264.40709391976",0.968716353855146,1
"IPO8","O15397","0.342858242164048","378.104951999447","386.650626355328",0.604245511010909,1
