"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"RTN4","Q9NQC3","3.60288647943254","2938.54418287587","0.022496089144981","0.0224015748685724","-1307.96679406346","-2631.39977584953",0.186607686389471,1
"DPYSL2","Q16555","1.13029698489861","6133.5605116412","0.430383307515736","0.011223813061044","5548.04383914916","2615.2961799466",0.709128478871598,1
"MYO18A","Q92614","1.82513504407112","816.910876619876","0.0566004685742138","0.00881668597134104","790.630763556744","-205.539232404748",0.290971093051912,1
"TUBB","P07437","4.67290646412972","629.030409091728","0.642842499030381","0.0112360283340535","-628.54018474901","-24.8292512530394",0.835663165433937,1
"EPB41L3","Q9Y2J2","1.43247459326325","2378.22851404239","0.437009942701239","0.00874392404590235","2355.5135591252","327.912698414706",0.713795086176313,1
"TUBA1A","Q71U36","5.3986274247535","5587.72980412691","0.692516332015037","0.00821828069990745","-4322.86291722675","3540.56218174375",0.861538388531364,1
"MYH14","Q7Z406","1.95874296607347","369.279920977692","0.643702457331162","0.00751400228769093","341.837907820489","-139.694326349359",0.83580774369985,1
"NEFL","P07196","2.0388875428991","19236.9006574092","0.0892448301085008","0.0604282414010465","17167.6089052879","-8679.37505688695",0.364377107541231,1
"ACTN1","P12814","2.6024456059025","1199.8804884518","0.708202694842971","0.00874097900344703","616.023706404035","-1029.67372488355",0.867653787629817,1
"VPS13C","Q709C8","5.58303771767955","82.7550342615246","0.96086841672468","0.00166042205637673","-53.3215978082821","63.2866723947303",0.982623453512191,1
"ATP5F1B","P06576","3.37692594042877","1760.03155456285","0.696627191455757","0.00676864425770443","-410.381451382648","-1711.51924833406",0.863451599337448,1
"UBA1","P22314","2.83559745364663","349.438526658035","0.939739766243489","0.00240328171170737","105.265663653938","-333.206278404886",0.974406387131983,1
"DCTN1","Q14203","0.893282759696722","836.003317152255","0.471081903123812","0.00636676442988472","651.35841220564","524.055116508294",0.734545775002922,1
"SPTB","P11277","1.38732284306175","898.966434886323","0.273133245561025","0.0177721372971503","883.878094731075","164.012696785311",0.591483818770483,1
"PYGB","P11216","1.00020902472285","5225.69233718212","0.0874146214686525","0.0243802947361367","4397.85855281647","2822.53442003866",0.360295783380823,1
"GAPDH","P04406","1.17296252878427","5817.61761553421","0.591452852359696","0.0098687958649012","5363.27559040728","2253.87436693249",0.805158987515447,1
"ACO2","Q99798","4.1584321683321","2360.68313722787","0.439828086660038","0.0112201975633053","-2007.64221538292","-1241.8524910006",0.716003472741987,1
"ADD2","P35612","2.08062176077448","1957.62084237263","0.325462985830981","0.0123286273604182","1708.66963900317","-955.367692169096",0.636463706983465,1
"KIF21A","Q7Z4S6","4.99224411757477","991.339663757471","0.400276483369412","0.010452047414844","-952.772052021363","273.824297361971",0.692441983849587,1
"ATP2B2","Q01814","1.50319326558324","1913.50536592869","0.417139565877213","0.0119588466016144","1909.13450481582","129.260310844235",0.700941285133209,1
"HSPG2","P98160","1.65284978248003","2950.14552525574","0.252674893271416","0.0553702634287762","2940.21977107656","-241.79809336913",0.572406829693495,1
"EPB41L1","Q9H4G0","1.46023467069219","1817.3903344003","0.181061090938175","0.0123166828431392","1806.29386430648","200.524570415694",0.49877914412771,1
"ACTN4","O43707","2.69558716364425","2158.32657521408","0.264930540609059","0.0135105638589086","931.02703629092","-1947.19343234582",0.583638918612683,1
"TUBB3","Q13509","2.63222365547442","1483.80780539756","0.368683175888915","0.011127186949071","723.54392714294","-1295.44192801272",0.669811745952745,1
"ITPR1","Q14643","2.43411318061621","319.608890155935","0.830164183731409","0.00422880594926053","207.720283679516","-242.903533146001",0.922488717537685,1
"TNR","Q92752","6.04647814018954","1913.98977464656","0.170358734593371","0.0120022409201838","-448.836133175276","1860.61897846063",0.487791554456798,1
"HSPA4","P34932","2.04612915342829","2076.66630296765","0.149832411434487","0.0150570090442249","1846.44802764083","-950.353942014568",0.462665984535271,1
"TUBA4A","P68366","0.886806497167555","850.867672603846","0.635091766131524","0.012126040575916","659.471591865199","537.655108601292",0.831396726512268,1
"STXBP1","P61764","0.730533654533264","5610.32439210782","0.467302626162818","0.0132796062654143","3743.58548033121","4178.67293959856",0.73329077299567,1
"LRPPRC","P42704","4.4612531242186","2523.54512067753","0.11184849641174","0.0208709361334603","-2444.38348221071","-627.111926206805",0.403770235522956,1
"HSP90AA1","P07900","2.02333996540391","5665.23587721959","0.0846850254267654","0.0307869187680981","5094.96074441503","-2477.15008778351",0.354244533557144,1
"MYH11","P35749","1.97469140484839","3472.89894380237","0.603825362406801","0.11287950003112","3193.45975680555","-1364.85964682346",0.812202185758674,1
"OXR1","Q8N573","2.25968636853228","2027.96111262388","0.0704146116031443","0.0180622035549902","1565.48877768773","-1289.13581955061",0.32568716618636,1
"HSPD1","P10809","3.17234466054519","2064.49969439764","0.683666808747357","0.00681259441089238","-63.4775028940034","-2063.52358716693",0.858870167773609,1
"ATP2A2","P16615","2.07447655826215","1666.96133502432","0.573296036275822","0.00949512199065639","1459.94511730351","-804.562208239804",0.795831024388334,1
"NFASC","O94856","1.70770124540138","2850.77447825903","0.199194588480141","0.0166228712007643","2824.10020886333","-389.067007327988",0.519792500826232,1
"ATP2B4","P23634","1.71246422088487","878.29292350837","0.876318331465263","0.00431828770943912","869.494075967821","-124.010125964558",0.943578812466524,1
"AP2B1","P63010","4.08023976394979","1446.14352982976","0.794302802239915","0.0055604983128241","-1166.68994934482","-854.497320631401",0.904500451282818,1
"FLNB","O75369","1.19486222122784","1177.37536668833","0.0825892788530447","0.0304967325805424","1095.15345072685","432.263430613291",0.349974308545386,1
"AP2A1","O95782","4.7332679159978","989.598118866229","0.716627244814669","0.00546010829999317","-989.382428971478","20.6602542597124",0.871688245794182,1
"PKM","P14618","0.798511024955493","4429.58618214753","0.571907374313141","0.00894901779995875","3172.99194793626","3090.85034309395",0.795766609658048,1
"C3","P01024","0.74327306188527","6905.57904238514","0.0308770092537014","0.0897571481369291","4673.01465228101","5084.2851975667",0.21370500470188,1
