"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"GAMT","0.000473439457946647","16.2972255200462","14.7826705049218",0.00198535930585701,1
"DAZAP1","0.295892583951124","26.2209728935788","25.5875719929639",0.418360728447934,1
"RPS15","2.15923605002774e-06","108.95439468464","94.7651729906128",2.24454908299029e-05,0.030278967129539
"APC2","0.0185510619506986","61.4088010261933","59.7084993728453",0.0444458468707751,1
"C19orf25","0.000776082460944295","21.3115625678092","19.8499692954053",0.00300220809650258,1
"PCSK4","0.234588154923205","4.27636460015263","4.07806314067803",0.349960606009373,1
"REEP6","0.000438749510596446","5.03647021502567","4.25451115093973",0.00184843530905291,1
"PLK5","0.000209627591735239","7.67707085939248","6.55552023550336",0.000995127866927304,1
"MEX3D","0.000991522467105165","2.88791397574968","2.54695354302434",0.00369103253416929,1
"MBD3","0.885347111229572","20.3375433889623","20.6521187320505",0.926370880523227,1
"UQCR11","4.36078539873613e-06","52.0967375567536","43.212492167123",3.93508968124046e-05,0.0611512936464767
"TCF3","0.993130874314863","5.78113121504167","5.77993418135038",0.996541985725748,1
"REXO1","0.0140111341119219","17.9011579768209","17.0412954973701",0.0349294459824855,1
"KLF16","1.98397464309747e-05","15.5324461060844","13.6511061100364",0.000137246206427751,0.278212764201558
"ABHD17A","0.911625818464853","36.0299900440133","36.7661130490212",0.944424412849633,1
"SCAMP4","0.464379724949428","12.9930742307138","12.6931743530872",0.588681692547987,1
"CSNK1G2","0.955734054556631","18.0551492113759","18.2308595948586",0.972389540983363,1
"BTBD2","0.104120059882204","30.8320493034781","29.5583471194545",0.182623589709587,1
"MKNK2","0.256443251202536","12.2584087287312","11.7344745604609",0.375219502463811,1
"MOB3A","0.370325089142527","9.21971867075794","9.40863603391186",0.496659212418292,1
"IZUMO4","0.399707082602505","3.01500382433649","3.11799758976321",0.525715555519684,1
"AP3D1","0.00499265545244856","48.9997803960724","46.91150418785",0.0144682801011957,1
"DOT1L","0.0303975458815975","9.65639780041694","10.3122298281634",0.0669490789850231,1
"PLEKHJ1","7.72114703169775e-06","19.5455556186395","17.4644241228755",6.34292002492663e-05,0.108273644825498
"SF3A2","0.108413154178908","7.8800511781501","7.28081077768801",0.188573264828929,1
"AMH","0.303746294780993","1.97240136392547","2.17147856993921",0.427568188286877,1
"OAZ1","2.87414798557909e-14","217.947162418719","185.358552151821",1.67934071674065e-11,4.03041772017756e-10
"LSM7","2.43749972026033e-05","18.4811984619926","16.2422128486801",0.00016261207696104,0.341810585772106
"SPPL2B","0.0188601119531402","30.9203413747048","32.6122688297855",0.0450400800270581,1
"TMPRSS9","0.783984110317136","7.80647597704623","7.77173261905271",0.853821775316651,1
"TIMM13","6.68184298792999e-08","20.7676865495042","18.0016683122306",1.32718816175272e-06,0.000936994842197422
"LMNB2","0.201692008303431","7.1322851890827","6.99991143112689",0.311010230090061,1
"GADD45B","3.01743439497299e-06","7.13162773698436","5.60443894184899",2.92826868655406e-05,0.0423134825207062
"GNG7","0.0695446743537189","31.0438314892461","30.0360582446855",0.131856531333869,1
"DIRAS1","7.9642778967578e-07","104.709445623473","94.1361686920792",9.81397793903643e-06,0.0111683068946235
"SLC39A3","8.83411038280426e-06","12.6135559786243","11.0003763105032",7.05873104832274e-05,0.123880729898064
