"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"MIEF2","0.611935364740544","0.93415874811447","0.818409017900804","5.97124237472167","6.22770915941441","5.97413481371226","5.99238163470123","6.09102148338258","5.99356354999585","5.91079558215222","1.9778053865325","2.01274232924913","1.95200999628247","1.75615685285773","1.02930789514635","1.85838311581824","2.04269545145525",0.900992494475038,1,0.999884603092583,1,0.999817567079685,1
"SMCR8","0.148986195377786","0.457325188875458","0.340018905607672","6.05353051684888","0.296885182186409","6.06101138605999","0.108809351865002","4.3004504512344","6.21056047041863","5.99133908216444","3.73832969185187","4.3617949250543","3.64858679944364","3.76584629512899","1.49537436651928","3.28251938861573","4.25584847260317",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"TVP23B","0.491196147825755","0.66895787179358","0.504314349283986","3.51224560996091","3.95280051130676","3.58480756125378","3.32269767717737","2.93808403722977","3.51945325685289","3.72546545068228","2.07208188194603","0.891471730893816","2.07486475598729","1.7380124722824","2.76405378291633","1.98256130785258","2.01178030284471",0.875403342959492,1,0.999884603092583,1,0.999817567079685,1
"EPN2-AS1","0.966974351277603","0.555118092779871","0.290442980824532","4.16056637353031","4.23504647456239","4.17075244989951","4.03074273265364","3.58502407979339","4.14270466352993","4.49936421429739","1.08427642391606","0.846033669033965","0.863822198937612","1.61798783515884","3.34160052081782","1.39268525039585","0.432869986386187",0.993378243879271,1,0.999884603092583,1,0.999817567079685,1
"MAPK7","0.578989098178118","0.933246429807425","0.906824981941339","5.77242147283163","6.06256662962798","5.87643969351226","5.69509886260395","6.10191754751006","5.70874409451672","6.06059854684959","0.684587276153663","0.420743545737606","0.6620565160651","0.587624750986715","0.727531065223533","0.680998496296986","0.631901208278148",0.894674891874669,1,0.999884603092583,1,0.999817567079685,1
"RNF112","0.325456215494841","0.837605602883729","0.79543759699681","5.43160415032161","5.04958219195359","5.43199193796228","5.24888692395569","6.00548879693978","5.3001687657888","5.46988915187873","9.22250592427489","5.67190066351591","8.87031074743876","7.79262401304569","12.3106772072626","8.49839441723594","9.08856984346168",0.84668727202503,1,0.999884603092583,1,0.999817567079685,1
"SLC47A1","0.509257865495883","0.524973732302745","0.0104316048498089","2.58658074772857","2.91425692547383","2.67864800867161","2.2088897910303","0.517358020549724","2.46923477897513","2.75073830042128","5.10882157668122","3.7084706375054","5.0726027256041","3.27107909006437","12.7521681469869","3.91019315737715","6.79256118370944",0.880884116564399,1,0.999884603092583,1,0.999817567079685,1
"SLC47A2","0.499927156492084","0.489263646674734","0.448180840860107","3.90108708913211","4.3598314725046","3.8364021216398","3.76386905075007","3.40292444549041","3.92769195352553","3.91050045630101","1.70567527814695","0.0543418294106114","1.29281756621027","2.60253880724851","4.75632008113536","1.87452571133616","0.769517291945933",0.877502812090084,1,0.999884603092583,1,0.999817567079685,1
"SPECC1","0.151775812045967","0.500341913988938","0.580485480314014","2.50195860187779","1.66883321390282","2.54098529815138","2.18601460000197","1.82613164680546","2.50008236980172","2.4850671835413","73.3964909396587","48.4946403701635","71.1825321652884","59.1870439292885","43.0234302565202","65.3945461127387","83.4739627398385",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"CCDC144NL-AS1","0.758117816913402","0.951207400110603","0.506798171558776","2.80747621124535","2.96848560834852","2.85354281958047","2.93184884275845","3.20805968563333","2.67241428792021","2.94764294283973","14.578427116037","11.787532796939","14.5342437238064","13.5953838119892","22.7528358381363","12.0674863373835","17.5105364036119",0.933361131375796,1,0.999884603092583,1,0.999817567079685,1
"USP22","0.180605240171137","0.709644991947506","0.0480831313980881","6.14895062157706","0.031485566651549","6.14071729617606","6.18639396851761","5.1627793609423","0.00140624704113872","5.98745360748735","47.5789627834571","32.0218187409927","46.0348508805292","38.7023536302863","13.0961255008121","45.0085169030308","50.4316669126327",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"DHRS7B","0.898795831752659","0.672349889337151","0.750296396620532","3.16546829542158","3.26056022027992","3.19216315635064","3.12860467928747","3.15001443602743","3.25470652330195","3.08053535490065","9.57316851635412","9.80802213157584","9.37672581359014","11.342417684309","13.6209538701687","9.54428713348156","9.81983108671091",0.972567104416618,1,0.999884603092583,1,0.999817567079685,1
"TMEM11","0.598777877525283","0.78113492840285","0.505213563856564","5.59469291751138","6.09911460061737","5.55450702324487","5.83105333718884","5.54132982990725","5.36220640551768","5.6582172248841","1.69810722228965","1.90673245900673","1.68651790727999","1.58446979204122","0.885797562376894","1.32809817045391","2.10891188756306",0.899716723652016,1,0.999884603092583,1,0.999817567079685,1
"KCNJ12","0.187501276032229","0.878016358874372","0.522647031620704","6.10395822629355","5.12300734872108","6.02768667545631","5.88126779981827","4.48066588320088","5.99447340684079","6.02269249063423","2.6927348944744","1.66993463523074","2.54373458453208","2.47246853300008","1.31658182893776","2.2097535553923","2.96489324358807",0.828055035619469,1,0.999884603092583,1,0.999817567079685,1
"MTRNR2L1","0.749878499216079","0.373883882411832","0.171522640986048","0.237669628365305","0.878363545021763","0.721692681329972","4.29498874043277","3.7797701740178","3.62207202559778","0.630091167519937","0.307680922237088","0.916814748700006","0.453304340158138","0.701414381230222","3.16079508123511","0.165376905721417","1.08972543323282",0.931028547410193,1,0.999884603092583,1,0.999817567079685,1
"WSB1","0.863715344083406","0.477488758950846","0.594581816268656","3.78516096180706","3.71968946548831","3.79438990967285","3.62930609270327","3.06332503593689","3.79839234839838","3.92094489452109","30.0971046179255","39.0963899975008","28.5521126321366","42.6493186117884","23.7649102505157","32.2250530808723","26.9683163900944",0.966865845235954,1,0.999884603092583,1,0.999817567079685,1
"KSR1","0.564673173554506","0.91934201222908","0.506175858920888","2.91685968702752","3.0841016566593","2.94520543025776","2.8982390295812","0.877824054314095","2.90543885339013","2.90798741912935","5.89542318245252","4.04953973797749","5.58390003373719","6.30465008021737","2.37490346471143","5.02602383280522","6.59927207016471",0.892974586091994,1,0.999884603092583,1,0.999817567079685,1
"LYRM9","0.474928501419605","0.918611602945936","0.478883011619502","4.84103941393205","4.75394386014128","4.80570822860223","4.99308974668784","3.6353663941861","4.85703570275707","4.80754637438518","7.92785629872239","4.76682581749132","7.53584907621559","7.28104515324495","2.98497635502716","7.84834934949192","7.98655013758385",0.872143762845487,1,0.999884603092583,1,0.999817567079685,1
