group,individual,time,value
Group2,12,2,0.6933897544769652
Group2,13,2,0.6950172278688568
Group2,14,2,0.7029594304768756
Group2,15,2,0.7096855701514335
Group2,16,2,0.6930760336814736
Group2,17,2,0.6992142129395778
Group2,18,2,0.7110624780827336
Group2,19,2,0.711835177385139
Group2,20,2,0.6973140631115875
Group2,1,3,0.4399623507748973
Group2,2,3,0.43274641009739623
Group2,3,3,0.4456458729838778
Group2,4,3,0.4263857652783511
Group2,5,3,0.4424510418523992
Group2,6,3,0.44426356911094095
Group2,7,3,0.4357326792759321
Group2,8,3,0.4432240740186806
Group2,9,3,0.43553442673590337
Group2,10,3,0.43517310488159444
Group2,11,3,0.43830168796282154
Group2,12,3,0.44263984161238584
Group2,13,3,0.43594003252951036
Group2,14,3,0.43194906040617503
Group2,15,3,0.4435272161994409
Group2,16,3,0.43888887774866914
Group2,17,3,0.4325763675772523
Group2,18,3,0.4433099143660877
Group2,19,3,0.43801648591489317
Group2,20,3,0.4323311937132427
Group2,1,4,0.28413265348204214
Group2,2,4,0.2817137218105326
Group2,3,4,0.29635543706336615
Group2,4,4,0.27698106202832035
Group2,5,4,0.28438458911278797
Group2,6,4,0.28163618954485387
Group2,7,4,0.28298244978053994
Group2,8,4,0.2888949619343089
Group2,9,4,0.2836554887717521
Group2,10,4,0.2831154238992155
Group2,11,4,0.28009151063543863
Group2,12,4,0.2905962456696906
Group2,13,4,0.29189377151734447
Group2,14,4,0.2841416315965561
Group2,15,4,0.2880753772848725
Group2,16,4,0.2900743012513072
Group2,17,4,0.28832819491029954
Group2,18,4,0.2898026641296176
Group2,19,4,0.28476204477073686
Group2,20,4,0.2830443118818337
Group2,1,5,0.3448303395162184
Group2,2,5,0.34669664372322717
Group2,3,5,0.3667926548647317
Group2,4,5,0.345423862793833
Group2,5,5,0.3589936921810569
Group2,6,5,0.3367379734967131
Group2,7,5,0.34981270854391333
Group2,8,5,0.34881904508373734
Group2,9,5,0.3350406213543603
Group2,10,5,0.3425908666457743
Group2,11,5,0.3384848852187519
Group2,12,5,0.36771356630642305
Group2,13,5,0.3573247738763359
Group2,14,5,0.34596029317574634
Group2,15,5,0.34038069745254285
Group2,16,5,0.37890742902236946
Group2,17,5,0.34554688111556114
Group2,18,5,0.3624802051858179
Group2,19,5,0.3386427468750707
Group2,20,5,0.3502253236333438
Group2,1,6,1.4489086521542902
Group2,2,6,1.4709768074781684
Group2,3,6,1.4349939150325344
Group2,4,6,1.4624509416586438
Group2,5,6,1.430577468213778
Group2,6,6,1.4601098187116868
Group2,7,6,1.4639155571417994
Group2,8,6,1.4759534725201107
Group2,9,6,1.4824988280685378
Group2,10,6,1.492388894453954
Group2,11,6,1.4148643848738307
Group2,12,6,1.430524866566776
Group2,13,6,1.404821810597317
Group2,14,6,1.396124578189295
Group2,15,6,1.4453689387515813
Group2,16,6,1.4140580122443682
Group2,17,6,1.4172360737647138
Group2,18,6,1.515656845329604
Group2,19,6,1.5019361806731728
Group2,20,6,1.5578796542404265
