GENE_SYMBOLS,refseq_ids
ZNHIT2,NM_014205
FAU,NM_001997
MRPL49,NM_004927
FAM89B,NM_001098784
FIBP,NM_004214
CCDC85B,NM_006848
DRAP1,NM_006442
BANF1,NM_001143985
AIP,NM_001302959
GSTP1,NM_000852
NUDT8,NM_001243750
MRPL21,NM_181512
LAMTOR1,NM_017907
ANAPC15,NM_001278485
LIPT2,NM_001144869
RPS3,NM_001005
NDUFC2,NM_001204054
TMEM126A,NM_001244735
TIMM8B,NM_012459
SCN2B,NM_004588
RPS25,NM_001028
TRAPPC4,NM_001318486
APLP2,NM_001142276
MRPL51,NM_016497
GAPDH,NM_001256799
COPS7A,NM_001164093
PTMS,NM_001330333
TPI1,NM_000365
C12orf57,NM_001301834
NECAP1,NM_015509
GABARAPL1,NM_001363598
PRR4,NM_001098538
TAS2R13,NM_023920
WBP11,NM_016312
STRAP,NM_007178
PCED1B,NM_001281429
PFKM,NM_000289
CCDC184,NM_001013635
COX14,NM_001257133
ATG101,NM_001098673
SPRYD3,NM_032840
IGFBP6,NM_002178
PFDN5,NM_002624
C12orf10,NA
PRR13,NM_001005354
ATP5MC2,NM_001002031
HNRNPA1,NM_002136
COPZ1,NM_001271734
BLOC1S1,NM_001487
CD63,NM_001040034
RPS26,NM_001029
RPL41,NM_001035267
MYL6B,NM_001199629
MYL6,NM_021019
ATP5F1B,NM_001686
NACA,NM_001113201
NXPH4,NM_007224
DDIT3,NM_001195053
METTL1,NM_005371
NDUFA12,NM_001258338
SLC25A3,NM_002635
HSP90B1,NM_003299
ISCU,NM_001301140
ERP29,NM_001034025
RPL6,NM_000970
DDX54,NM_001111322
RITA1,NM_001286215
RPLP0,NM_001002
COX6A1,NM_004373
TRIAP1,NM_016399
SRSF9,NM_003769
DYNLL1,NM_001037494
ARL6IP4,NM_001002251
TMED2,NM_001321445
RAN,NM_001300796
SAP18,NM_001366643
MRPL57,NM_024026
RPL21,NM_000982
POMP,NM_015932
TPT1,NM_001286272
NUDT15,NM_001304745
MZT1,NM_001071775
ING1,NM_001267728
APEX1,NM_001244249
PIP4P1,NM_001100814
SALL2,NM_001291446
MRPL52,NM_001318870
C14orf119,NM_017924
PSME1,NM_001281528
EMC9,NM_001346874
MDP1,NM_001199821
NEDD8,NM_006156
GMPR2,NM_001002000
TINF2,NM_001099274
RPS29,NM_001030001
RPL36AL,NM_001001
ARF6,NM_001663
ATP6V1D,NM_015994
ERH,NM_004450
PNMA1,NM_006029
ISCA2,NM_001272007
NDUFB1,NM_004545
MOAP1,NM_022151
TMEM251,NA
IFI27L2,NM_032036
GLRX5,NM_016417
LBHD2,NM_001330236
EIF5,NM_001969
COA8,NM_001302652
ATP5MPL,NA
NUDT14,NM_001318380
TMEM121,NM_001331238
NDN,NM_002487
SCG5,NM_001144757
EMC7,NM_020154
EMC4,NM_001286420
NOP10,NM_018648
SRP14,NM_001309434
GCHFR,NM_005258
RHOV,NM_133639
SERF2,NM_001018108
CTXN2,NM_001145668
ARPP19,NM_001306191
RSL24D1,NM_016304
GTF2A2,NM_001320929
PPIB,NM_000942
OAZ2,NM_001301302
SNAPC5,NM_001329613
RPLP1,NM_001003
CPLX3,NM_001030005
MPI,NM_001289155
COX5A,NM_004255
RPP25,NM_017793
IMP3,NM_018285
CRABP1,NM_004378
RPS17,NM_001021
MRPL46,NM_022163
MESP1,NM_018670
HDDC3,NM_001286451
WASIR2,NR_130735
POLR3K,NM_016310
SNRNP25,NM_024571
HBQ1,NM_005331
ARHGDIG,NM_001176
STUB1,NM_001293197
ANTKMT,NM_001271285
TSR3,NM_001001410
C16orf91,NA
MRPS34,NM_001300900
NUBP2,NM_001284501
MSRB1,NM_001382264
NDUFB10,NM_004548
RPS2,NM_002952
ELOB,NM_007108
ZNF174,NM_001032292
DEXI,NM_014015
SNN,NM_003498
RPS15A,NM_001019
NDUFAB1,NM_005003
CDIPT,NM_001286585
SEZ6L2,NM_001114099
TMEM219,NM_001083613
ALDOA,NM_000034
BOLA2B,NM_001039182
DCTPP1,NM_024096
SEPHS2,NM_012248
PRSS36,NM_001258290
PYDC1,NM_152901
MT3,NM_005954
CIAO2B,NM_016062
TMEM208,NM_001318217
PARD6A,NM_001037281
PSMB10,NM_002801
CALB2,NM_001740
PSMD7,NM_002811
GABARAPL2,NM_007285
HSBP1,NM_001537
COX4I1,NM_001318786
MAP1LC3B,NM_022818
APRT,NM_000485
TRAPPC2L,NM_001318524
RPL13,NM_000977
CENPBD1,NA
MRM3,NM_001317947
PITPNA-AS1,NR_028514
RILP,NM_031430
EMC6,NM_001014764
PSMB6,NM_001270481
C17orf107,NM_001145536
SLC25A11,NM_001165417
TXNDC17,NM_032731
RNASEK,NM_001004333
C17orf49,NM_001142798
GABARAP,NM_007278
TMEM256,NM_152766
NAA38,NM_001320924
TRAPPC1,NM_001166621
VAMP2,NM_001330125
BORCS6,NM_017622
RPL26,NM_000987
SNHG29,NM_152350
TMEM97,NM_014573
PIGS,NM_033198
RPL23A,NM_000984
COPRS,NM_001330176
CISD3,NM_001136498
RPL23,NM_000978
RPL19,NM_000981
MIEN1,NM_001330206
RARA-AS1,NR_110861
KRT222,NM_152349
KRT10,NM_000421
EIF1,NM_005801
NT5C3B,NM_052935
ACLY,NM_001096
TUBG1,NM_001070
VPS25,NM_032353
COA3,NM_001040431
RPL27,NM_000988
RND2,NM_005440
ARL4D,NM_001661
RPRML,NM_203400
ATP5MC1,NM_001002027
PHB,NA
