GENE_SYMBOLS,refseq_ids
COPZ1,NM_001271734
SLC25A6,NM_001636
EIF3I,NM_001394168
LGALSL,NM_014181
SCN3B,NM_001040151
GPR162,NM_014449
GABARAP,NM_007278
YRDC,NM_024640
DUSP7,NM_001947
MZT1,NM_001071775
KCNJ4,NM_004981
SLC25A4,NM_001151
HAS1,NM_001297436
NEFM,NM_001105541
NCKIPSD,NM_016453
SRPRA,NM_001177842
BHLHE41,NM_030762
LRRC14,NM_001272036
MESP1,NM_018670
EIF4H,NM_022170
GSPT2,NM_018094
PHF24,NM_001304333
ASNSD1,NM_001353497
SOWAHA,NM_175873
FKBP1B,NM_001322963
TMEM30A,NM_001143958
C16orf91,NA
PRPS1,NM_001204402
ATP6V1E1,NM_001039366
ATMIN,NM_001300728
CCDC184,NM_001013635
AHCY,NM_000687
COA3,NM_001040431
MAPK8IP2,NM_012324
C3orf80,NM_001168214
NEFL,NM_006158
PNMA2,NM_007257
LSM4,NM_001252129
RTL5,NM_001024455
DIRAS1,NM_145173
ORMDL3,NM_001320801
LGI3,NM_139278
PELO,NM_015946
GHITM,NM_014394
ATP6V0B,NM_001039457
YPEL3,NM_001145524
RNF6,NM_005977
GABRD,NM_000815
BEX4,NM_001080425
SELENOW,NM_003009
ST6GAL2,NM_001142351
CNIH2,NM_182553
CBX4,NM_003655
PRELID1,NM_001271828
ATG101,NM_001098673
NAP1L5,NM_153757
TOMM22,NM_020243
UBE2Q1,NM_017582
SH2D5,NM_001103160
SPATA2,NM_001135773
DUSP3,NM_004090
SYNGR3,NM_004209
SLC39A3,NM_144564
ARHGDIG,NM_001176
CTDNEP1,NM_001143775
VPS35,NM_018206
HSPA13,NM_006948
MDH2,NM_001282403
GABARAPL1,NM_001363598
DOLPP1,NM_001135917
UBQLN4,NM_001304342
ATP6V1G1,NM_004888
PDK2,NM_001199898
RASL10A,NM_001007279
GET3,NM_001371488
KCNJ11,NM_000525
HAPLN4,NM_023002
NGB,NM_021257
DEDD2,NM_001270614
TNFSF12,NM_003809
KEAP1,NM_012289
ANKRD34A,NM_001039888
NECAP1,NM_015509
SET,NM_001122821
CHST2,NM_004267
TMEM158,NM_015444
TMEM271,NM_001362796
SPRN,NM_001012508
SLC35C1,NM_001145265
PLEKHB2,NM_001031706
CHRM1,NM_000738
H2AFX,NA
NSF,NM_006178
LRTM2,NM_001039029
DNAL4,NM_005740
DBNDD1,NM_001042610
TMEM160,NM_017854
BAP1,NM_001410772
TPI1,NM_000365
SUMO3,NM_001286416
HTR5A,NM_024012
SRP9,NM_001130440
CEND1,NM_016564
DNAJB9,NM_012328
RGS4,NM_001102445
FNDC4,NM_022823
PRPF19,NM_014502
ARL6IP1,NM_001313858
PLEKHJ1,NM_001300836
THAP11,NM_020457
JAGN1,NM_001363890
SLC35A2,NM_001032289
MCHR1,NM_005297
GABRA1,NM_000806
MIR31HG,NR_027054
SLC26A4-AS1,NR_028137
RABAC1,NM_006423
TINF2,NM_001099274
SMIM29,NM_001008703
COPS8,NM_006710
C20orf27,NA
SH3BP5L,NM_001322462
VPS37D,NM_001077621
RNF5,NM_006913
AIP,NM_001302959
VPS25,NM_032353
TMEM183A,NM_001322955
PGRMC1,NM_001282621
ATXN7L3,NM_001098833
WDR83OS,NM_016145
HIGD1A,NM_001099668
BEX1,NM_018476
CBLN4,NM_080617
SLITRK4,NM_001184749
RND1,NM_014470
EIF4G2,NM_001042559
RPL15,NM_001253379
PPP1CC,NM_001244974
YIPF3,NM_015388
ZDHHC22,NM_001364172
RAC1,NM_006908
FAP,NM_001291807
GPX4,NM_001039847
TLCD3B,NM_001318504
NDN,NM_002487
SNX8,NM_013321
ZXDB,NM_007157
DBP,NM_001352
ARL4C,NM_001282431
SVIP,NM_001320340
CHGB,NM_001819
SNRNP25,NM_024571
RAB39B,NM_171998
ATP1A3,NM_001256213
EIF4A2,NM_001967
RAB3A,NM_002866
ISCU,NM_001301140
RUNDC3A,NM_001144825
LYNX1,NM_001356370
PRRT1,NM_001363780
FKBP4,NM_002014
MGAT2,NM_001015883
TMX4,NM_021156
TRIM67,NM_001004342
MRPS12,NM_021107
MAP1LC3A,NM_032514
ARL2,NM_001199745
BUB3,NM_001007793
CCK,NM_000729
RAB5IF,NM_001199534
ZNF770,NM_014106
NAPB,NM_001283018
TCEAL8,NM_001006684
MCRIP1,NM_001093767
H2AFV,NA
MRFAP1L1,NM_152301
OLFM1,NM_001282611
GOT1,NM_002079
LRRC73,NM_001012974
KCNIP3,NM_001034914
DGCR6L,NM_033257
ARF6,NM_001663
DAXX,NM_001141969
DYNLT3,NM_006520
H1F0,NA
NUDT15,NM_001304745
ST8SIA2,NM_001330416
SELENOM,NM_080430
PFN2,NM_002628
RCOR2,NM_001363648
RFK,NM_018339
HCRTR1,NM_001525
DNAJB2,NM_001039550
QTRT2,NM_001256835
RAB3B,NM_002867
ARF1,NM_001024226
CEBPA,NM_001285829
IGFBP6,NM_002178
LIN7C,NM_018362
HCCS,NM_001122608
COPRS,NM_001330176
RPP25,NM_017793
ZNHIT2,NM_014205
LAMTOR5,NM_001382293
ANKRD55,NM_001039935
SLC9A6,NM_001042537
RHBDD2,NM_001040456
FEM1B,NM_015322
TMEM132A,NM_017870
BSCL2,NM_001122955
ABCC12,NM_001392028
YWHAB,NM_003404
TRIAP1,NM_016399
CKB,NM_001362531
CTSD,NM_001909
TLE5,NM_001130
GPR12,NM_005288
RNF213-AS1,NR_029376
FAM174C,NM_017914
HRAS,NM_001130442
ARMCX3,NM_016607
FAM241B,NM_145306
COMMD8,NM_001329668
C9orf16,NA
TIMM13,NM_012458
ENO1,NM_001201483
MAT2B,NM_013283
CHCHD4,NM_001098502
RLIM,NM_016120
KBTBD7,NM_032138
TMEM54,NM_001329722
RHNO1,NM_001252499
TPPP,NM_007030
DUBR,NR_028301
INAFM2,NM_001301268
RBP4,NM_001323517
PPIF,NM_005729
MAS1,NM_001366704
ABRACL,NM_021243
FKBP1A,NM_000801
C5orf24,NM_001135586
EHD1,NM_001282444
TRAPPC2L,NM_001318524
HYOU1,NM_001130991
FBXL15,NM_001387294
VMA21,NM_001017980
HDDC3,NM_001286451
PTPA,NM_001193397
ZFP92,NM_001136273
TCEAL7,NM_001348258
SLC25A22,NM_001191060
CTXN1,NM_206833
RPL4,NM_000968
IDH3B,NM_001258384
NIP7,NM_001199434
PGK1,NM_000291
LUC7L2,NM_001244585
KLHL21,NM_001324309
ZNF687,NM_001304763
EIF1AX,NM_001412
PSMG3,NM_001134340
YDJC,NM_001017964
KTI12,NM_138417
SUMO2,NM_001005849
EIF1B,NM_005875
TSPYL1,NM_003309
CCDC115,NM_001321118
CYGB,NM_134268
ACP2,NM_001131064
PJA2,NM_014819
PRR7,NM_001174101
KCNF1,NM_002236
THAP7,NM_001008695
SMG8,NM_018149
NEUROD6,NM_022728
MRPL17,NM_022061
SMIM15,NM_001048249
CHMP1A,NM_001083314
MEA1,NM_001318942
FRAT2,NM_012083
CFL1,NM_005507
RNF167,NM_001320356
ASIC2,NM_001094
FUNDC1,NM_173794
CETN2,NM_004344
PCSK1N,NM_013271
SLC35A4,NM_001394034
FBXO45,NM_001105573
THEM6,NM_001363000
CDKN1B,NM_004064
RPSA,NM_001304288
SLC7A4,NM_004173
TSPYL5,NM_033512
XYLT1,NM_022166
CENPB,NM_001810
GMFB,NM_004124
TIMM17B,NM_001167947
RNASEK,NM_001004333
CALM2,NM_001305624
TUFM,NM_001365360
B4GALNT1,NM_001276468
EEF1A2,NM_001958
HCRTR2,NM_001384272
MLLT11,NM_006818
ATP6V1G2,NM_001204078
CYCS,NM_018947
ZBTB33,NM_001184742
EPOP,NM_001130677
DCAF12L2,NM_001013628
PGM2L1,NM_173582
FIBP,NM_004214
ARPC4,NM_001024959
PTMS,NM_001330333
PYURF,NM_032906
GRPEL2,NM_152407
COA7,NM_023077
RPRML,NM_203400
TMA7,NM_001329417
RGS14,NM_001366617
SDHAF1,NM_001042631
NCBP2AS2,NM_001355243
PNPO,NM_018129
FOXO4,NM_001170931
YPEL5,NM_001127399
ALYREF,NM_005782
ISOC2,NM_001136201
POLR2K,NM_005034
TMEM198,NM_001005209
IDS,NM_000202
ATP1B1,NM_001001787
UQCC3,NM_001085372
CAMK2N1,NM_018584
AVPI1,NM_021732
TLCD3A,NM_001318006
CEP152,NM_001194998
FRAT1,NM_005479
FAM50B,NM_012135
ELOF1,NM_001363673
CDKN2C,NM_001262
HTATSF1,NM_001163280
CAMK2N2,NM_033259
NRGN,NM_001126181
PABPC1L2A,NM_001012977
TMEM17,NM_198276
ADAT2,NM_001286259
NDRG4,NM_001130487
TMEM155,NA
HPS6,NM_024747
RTL8A,NM_001078172
SMIM13,NM_001135575
FBXO2,NM_012168
CDK5,NM_001164410
CSTB,NM_000100
TTC9B,NM_152479
RND3,NM_001254738
TOMM6,NM_001134493
SCOC,NM_001153446
TMEM208,NM_001318217
ATP6V1F,NM_001198909
TMEM70,NM_001040613
TMEM81,NM_203376
IMP3,NM_018285
RPS2,NM_002952
SLBP,NM_001306074
KCP,NM_001135914
NAP1L2,NM_021963
UBQLN2,NM_013444
BLOC1S3,NM_212550
H1FX,NA
FKBPL,NM_022110
SLC25A5,NM_001152
UQCRFS1,NM_006003
ZBTB18,NM_001278196
MFSD3,NM_138431
BTF3,NM_001037637
SLC25A11,NM_001165417
CCN3,NM_002514
BORCS8,NM_001145783
ATP5F1B,NM_001686
SELENOH,NM_001321335
SAP18,NM_001366643
TMEM161B-AS1,NA
UBA52,NM_001033930
DRAP1,NM_006442
FAM210B,NM_080821
AKAP5,NM_004857
GDF10,NM_004962
RTL8C,NM_001078171
OAT,NM_000274
YOD1,NM_001276320
TSR3,NM_001001410
TUBA4A,NM_001278552
SLC30A3,NM_001318949
OR2AG2,NM_001004490
ZNF468,NM_001008801
PPP1R1A,NM_006741
GNB2,NM_005273
RNF227,NM_001358699
DLK2,NM_001286655
BEX3,NM_001282674
PEBP1,NM_002567
HIGD2A,NM_138820
DOHH,NM_001145165
PHB,NA
COL13A1,NM_001130103
