"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"100000442","Xenobiotics","Food Component/Plant","quinate","quinate",10246715,"HMDB0003072",6508,"C00296","4.07645689884528","0.478006509019414","0.00798504812341914","0.353006829803818","-0.38456505908628","-0.283901282129711",0.0742730879812734,1
"100000445","Xenobiotics","Xanthine Metabolism","theobromine","theobromine",5236,"HMDB0002825",5429,"C07480","1.75528224850578","0.220218668596076","0.692568676122788","0.192549878451168","0.216481708345102","-0.040397177503071",0.81460261453599,1
"100000454","Amino Acid","Lysine Metabolism","5-aminovalerate","5-aminovalerate",135,"HMDB0003355",138,"C00431","3.59098882670974","0.0658247522979161","0.389049068136093","0.0607598141904146","-0.0285957034733598","-0.0592889851316894",0.643744326725188,1
"100000467","Amino Acid","Tryptophan Metabolism","3-indoxyl sulfate","3-indoxyl sulfate",9840,"HMDB0000682",10258,NA,"1.59497544611354","0.496172863720672","0.00106444785498846","0.555082185783804","0.496027832062921","-0.0119958539392072",0.0213162506345125,0.831333774745987
"100000487","Peptide","Dipeptide","glycylvaline","glycylvaline",2006926,"HMDB0028854",2724807,NA,"1.08598960305394","0.247861761848947","0.0154507651346576","0.253992642613665","0.219299421535573","0.115512842147647",0.116029303559304,1
"100000491","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylphenylalanine","gamma-glutamylphenylalanine",99868,"HMDB0000594",111299,NA,"2.13572955643804","0.186125211976956","0.304615799937638","0.187551799616829","0.157205885895359","-0.0996438857799228",0.58167466931857,1
"100000565","Lipid","Eicosanoid","15-HETE","15-HETE",4444307,"HMDB0003876",9966861,"C04742","4.98942665466803","0.0578013256389059","0.61525280959473","0.0504754925622916","-0.055597353910533","0.0158090949697251",0.773584822243839,1
"100000574","Lipid","Eicosanoid","prostaglandin F2alpha","prostaglandin F2alpha",4444062,"HMDB0001139",5283078,"C00639","5.62236276037164","0.0879888661743194","0.240066058437778","0.0829896009182557","-0.0540046140380416","0.0694661229178975",0.515086790219518,1
"100000580","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",NA,"HMDB0002712",64960,"C07326","2.96700218320438","0.125338709664164","0.110740845393779","0.120672860328956","0.021771941551426","-0.123433280363762",0.358923255895819,1
"100000584","Lipid","Monoacylglycerol","2-arachidonoylglycerol (20:4)","2-arachidonoylglycerol (20:4)",4445451,"HMDB0004666",5282280,"C13856","3.58358745046429","0.0912676033992403","0.496615527585572","0.0862964737530651","-0.0390391161019513","-0.0824968050546164",0.695693409392606,1
"100000616","Lipid","Phosphatidylinositol (PI)","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",21403055,"HMDB0009815",NA,NA,"6.0052483921844","0.0208110635029554","0.373273291683649","0.021254277938871","-0.00570997983279206","0.0200124085115498",0.628289743114073,1
"100000630","Lipid","Lysophospholipid","1-oleoyl-GPS (18:1)","1-oleoyl-GPS (18:1)",7826049,"HMDB0061694",85036846,NA,"2.25222864445726","0.087292257598406","0.528406467731917","0.0872755828260588","0.0677973903243767","-0.0549859263978574",0.714712765518872,1
"100000639","Lipid","Phosphatidylserine (PS)","1-stearoyl-2-oleoyl-GPS (18:0/18:1)","1-stearoyl-2-oleoyl-GPS (18:0/18:1)",7826037,"HMDB0010163",9547087,NA,"0.454748595202343","0.0524377232266591","0.333919554530082","0.0545711477700318","0.0230325605911232","0.0471085551658289",0.601312342553981,1
"100000641","Lipid","Phosphatidylglycerol (PG)","1-palmitoyl-2-oleoyl-GPG (16:0/18:1)","1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",4446626,NA,70789105,NA,"1.21934563308951","0.0178938046390823","0.634542015144058","0.0178515468673925","0.0168000330341306","0.00616012455342959",0.782902549490536,1
"100000652","Lipid","Phosphatidylglycerol (PG)","1,2-dipalmitoyl-GPG (16:0/16:0)","1,2-dipalmitoyl-GPG (16:0/16:0)",10020701,"HMDB0010570",11846227,NA,"4.85324210580788","0.0220514404141824","0.845959523246607","0.0223576991530312","-0.0218330559167147","0.00309575413717639",0.905060805007671,1
"100000656","Lipid","Lysophospholipid","1-stearoyl-GPI (18:0)","1-stearoyl-GPI (18:0)",21403067,"HMDB0240261",7158113542607495,NA,"3.73591233581446","0.0587927732808606","0.791297524922373","0.0524722375376467","-0.0329207324095558","-0.0487115547655081",0.876600520516842,1
"100000657","Lipid","Phosphatidylcholine (PC)","1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",398235,"HMDB0000564",452110,"D03585","5.00487774875475","0.0292406927131756","0.486803830016189","0.0290597837801524","-0.0279988182628187","0.00843114975741813",0.695693409392606,1
"100000660","Lipid","Phosphatidylcholine (PC)","1,2-distearoyl-GPC (18:0/18:0)","1,2-distearoyl-GPC (18:0/18:0)",85004,"HMDB0008036",94190,NA,"0.356781392618054","0.0332762746680107","0.844439140976023","0.032301326782538","0.0116220759955482","0.0311807281078328",0.905060805007671,1
"100000665","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosahexaenoate (DHA; 22:6n3)","docosahexaenoate (DHA; 22:6n3)",393183,"HMDB0002183",445580,"C06429","3.94796139213137","0.162320116041413","0.308622213379465","0.134865897027378","-0.117159195124379","-0.112345641079241",0.587634067758435,1
"100000672","Lipid","Phosphatidylcholine (PC)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",114798,"HMDB0007869",129657,NA,"5.75407101120442","0.0262616651112167","0.298749318868394","0.0267819283466651","-0.0132560731581448","0.0226705001894446",0.57862337818595,1
"100000707","Lipid","Fatty Acid, Dicarboxylate","maleate","maleate",392248,"HMDB0000176",444266,"C01384","1.15679877746965","0.0631536885254203","0.164819247251734","0.0625815405289152","0.0578184673591262","0.0254049838930762",0.430221260157209,1
"100000715","Amino Acid","Guanidino and Acetamido Metabolism","1-methylguanidine","1-methylguanidine",28576,"HMDB0001522",10111,"C02294","2.81424144581837","0.0207365265356601","0.82985615113927","0.0196787689603624","0.0066675403137358","-0.0196353619505433",0.89766988094151,1
"100000773","Lipid","Fatty Acid, Monohydroxy","3-hydroxyoctanoate","3-hydroxyoctanoate",24791,"HMDB0001954",26613,"C20793","1.84987876185504","0.045714698736722","0.643401660212733","0.0449555581158142","0.0439459334059442","-0.0125931972774818",0.786379806926674,1
"100000774","Amino Acid","Phenylalanine Metabolism","phenyllactate (PLA)","phenyllactate (PLA)",3715,"HMDB0000779,HMDB0000563",3848,"C05607","2.32580605906376","0.284437303268975","0.0923662393088201","0.285546264985699","0.207145696750598","-0.194923676880557",0.324946094144993,1
"100000776","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","palmitoylcarnitine (C16)","palmitoylcarnitine (C16)",448,"HMDB0000222",461,"C02990","1.46447191521206","0.184709223030054","0.0096389678121454","0.191290846640775","0.18366614839193","0.0196021174172565",0.0865278199770461,1
"100000781","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","hexanoylcarnitine (C6)","hexanoylcarnitine (C6)",4932273,"HMDB0000756",6426853,NA,"0.899898919134482","0.147867555440459","0.0941031777231259","0.14673038128993","0.115819343702209","0.091927654034718",0.328100811615006,1
"100000787","Amino Acid","Alanine and Aspartate Metabolism","N-acetylaspartate (NAA)","N-acetylaspartate (NAA)",58576,"HMDB0000812",65065,"C01042","5.68245282625321","0.0345229690160396","0.476302197968273","0.0338954635097313","-0.0195139999882844","0.0284787498696777",0.692854878829668,1
"100000802","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Short Chain)","acetylcarnitine (C2)","acetylcarnitine (C2)",5406074,"HMDB0000201",7045767,"C02571","1.30678981483058","0.105081341204632","0.0424631265723154","0.108265412706","0.101440506882631","0.0274210107902534",0.203458293576554,1
"100000808","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","cysteine s-sulfate","cysteine s-sulfate",102939,"HMDB0000731",115015,"C05824","4.69483129012231","0.155850269567583","0.175675933392531","0.143307442512828","-0.155826248009564","-0.00273623017124017",0.442590012837312,1
"100000827","Lipid","Monoacylglycerol","1-palmitoylglycerol (16:0)","1-palmitoylglycerol (16:0)",14201,"HMDB0011564",14900,NA,"2.06581072659345","0.0355539052061488","0.880823743994735","0.034262381760648","0.0312860808891358","-0.0168896808142211",0.924628150618129,1
"100000840","Xenobiotics","Food Component/Plant","tartronate (hydroxymalonate)","tartronate (hydroxymalonate)",44,"HMDB0035227",45,"C02287","1.63058002504002","0.0275984862256948","0.87189351744659","0.0263212892940167","0.0275491811686174","-0.00164895690924908",0.920201131251063,1
"100000841","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","oxalate (ethanedioate)","oxalate (ethanedioate)",946,"HMDB0002329",971,"C00209","4.01901552704113","0.028563258499812","0.706838780473027","0.0270727820020144","-0.0219678393623665","-0.0182557872981787",0.825069271341614,1
"100000846","Xenobiotics","Food Component/Plant","erythritol","erythritol",13835932,"HMDB0002994",222285,"C00503","1.45787743848887","0.08567342197655","0.0252182403735155","0.0872933188779931","0.0851278051006981","0.00965360201735874",0.144088589134912,1
"100000924","Lipid","Monoacylglycerol","1-oleoylglycerol (18:1)","1-oleoylglycerol (18:1)",4446588,"HMDB0011567",5283468,NA,"3.12806960767152","0.15739073614354","0.114270108959826","0.155274498812684","0.00212833728143938","-0.157376345122836",0.36038298637144,1
"100000943","Lipid","Monoacylglycerol","2-oleoylglycerol (18:1)","2-oleoylglycerol (18:1)",4478086,"HMDB0011537",5319879,NA,"2.82460290896387","0.158504834213019","0.212543751364709","0.14804130794738","0.0494071771006263","-0.150607812944229",0.490948766800789,1
"100000961","Amino Acid","Urea cycle; Arginine and Proline Metabolism","homoarginine","homoarginine",8732,"HMDB0000670",9085,"C01924","4.64617053690699","0.192494796630872","0.166578139513752","0.154281536641861","-0.192072917313153","-0.0127373923852437",0.430221260157209,1
"100000963","Amino Acid","Urea cycle; Arginine and Proline Metabolism","homocitrulline","homocitrulline",58582,"HMDB0000679",65072,"C02427","1.3692067668615","0.229171412753494","0.0821418332601382","0.210309193366846","0.224530586913618","0.0458862938540317",0.305489389410323,1
"100000983","Lipid","Fatty Acid, Monohydroxy","3-hydroxypalmitate","3-hydroxypalmitate",266538,"HMDB0010734",15569776,NA,"4.97548819247182","0.0752077141901329","0.571738676576511","0.067693197795686","-0.0726197107859206","0.0195595981317092",0.74718353219149,1
"100000997","Lipid","Fatty Acid, Monohydroxy","3-hydroxydecanoate","3-hydroxydecanoate",24790,"HMDB0002203",26612,NA,"0.331353813166988","0.0680089127787146","0.138456937536311","0.0674446148407678","0.0221248972391816","0.0643094171914072",0.396098418373109,1
"100001006","Amino Acid","Glycine, Serine and Threonine Metabolism","N-acetylglycine","N-acetylglycine",10507,"HMDB0000532",10972,NA,"1.32339700734763","0.155445203219297","0.149552208633908","0.138633045290212","0.150712295189511","0.0380659333604008",0.411268573743247,1
"100001007","Carbohydrate","Pentose Metabolism","ribonate","ribonate",4574162,"HMDB0000867",5460677,"C01685","1.64368219564925","0.0584988158000862","0.0747414354103401","0.0579810908011589","0.0583435014868424","-0.00425996294200243",0.291422635901543,1
"100001022","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","threonate","threonate",133224,"HMDB0062620,HMDB0000943",1511525460407,"C01620","0.899292812508528","0.0351822102783274","0.598702459133924","0.033845756499755","0.0275436992446255","0.0218890966462773",0.761541727334845,1
"100001034","Amino Acid","Tryptophan Metabolism","indoleacetate","indoleacetate",780,"HMDB0000197",802,"C00954","1.43820048869324","0.296232007523128","0.234996050362353","0.297281947412326","0.293631696021881","0.039164133751383",0.514148931283095,1
"100001040","Lipid","Monoacylglycerol","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)",4446589,"HMDB0011568",5283469,NA,"3.14433996074964","0.0798180937854607","0.521452287383747","0.0848383625780688","-0.000219284544692781","-0.0798177925642714",0.712404107066946,1
"100001048","Lipid","Monoacylglycerol","2-palmitoylglycerol (16:0)","2-palmitoylglycerol (16:0)",110006,"HMDB0011533",123409,NA,"2.2746375611103","0.104613593431163","0.474412100755362","0.105056148079912","0.0797534240927292","-0.0677007775144867",0.692854878829668,1
"100001051","Amino Acid","Histidine Metabolism","1-methylhistidine","1-methylhistidine",83153,"HMDB0000001",92105,"C01152","1.49610985208913","0.242193449937552","0.134042138844759","0.233699603460484","0.241518277922894","0.0180717631074993",0.38917067077233,1
"100001054","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","butyrylcarnitine (C4)","butyrylcarnitine (C4)",184820,"HMDB0002013",439829,"C02862","1.12422222444919","0.170245554487195","0.0310395875556599","0.17869046478072","0.15354990709508","0.0735253347747883",0.164911005992996,1
"100001055","Amino Acid","Leucine, Isoleucine and Valine Metabolism","isobutyrylcarnitine (C4)","isobutyrylcarnitine (C4)",NA,"HMDB0000736",168379,NA,"1.36934700125367","0.258748076090934","0.0097496135185404","0.280881672457803","0.253515572120109","0.0517727879621498",0.0865278199770461,1
"100001092","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","trigonelline (N'-methylnicotinate)","trigonelline (N'-methylnicotinate)",5369,"HMDB0000875",5570,"C01004","4.38221201878212","0.493629033314168","0.010442714732775","0.336585395018239","-0.466965653942928","-0.160039684354645",0.0898950769185237,1
"100001103","Amino Acid","Glutamate Metabolism","glutamate, gamma-methyl ester","glutamate, gamma-methyl ester",66546,"HMDB0061715",68662,NA,"1.67540619408218","0.0882491377706179","0.0694577196171712","0.0909935107598845","0.0877667128957963","-0.00921490231767918",0.276767750107198,1
"100001104","Amino Acid","Tyrosine Metabolism","N-acetyltyrosine","N-acetyltyrosine",61606,"HMDB0000866",68310,NA,"1.5210596000298","0.123736527951849","0.27085607072055","0.13073026414915","0.123583513376564","0.00615171285769649",0.555219399561023,1
"100001112","Lipid","Fatty Acid, Monohydroxy","3-hydroxylaurate","3-hydroxylaurate",85026,"HMDB0000387",94216,NA,"1.42805181119658","0.0397944673264533","0.616550972528414","0.0388490629305081","0.0393897293041112","0.00566117082810652",0.773584822243839,1
"100001121","Cofactors and Vitamins","Vitamin B6 Metabolism","pyridoxate","pyridoxate",6467,"HMDB0000017",6723,"C00847","4.18024765027294","0.0203511690364772","0.934656165995371","0.0195361644993094","-0.0175370618772303","-0.0103257707637476",0.954976845589934,1
"100001126","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylvaline","gamma-glutamylvaline",NA,"HMDB0011172",7015683,NA,"1.87005669169705","0.0699131859251921","0.282811965216727","0.0679663961740771","0.0668058807373437","-0.0206113528211587",0.562398893127095,1
"100001153","Lipid","Fatty Acid, Dicarboxylate","2-hydroxyadipate","2-hydroxyadipate",167943,"HMDB0000321",193530,"C02360","3.16781307564678","0.0169077921404465","0.949479593311408","0.0177394204653008","-0.000443278648776548","-0.0169019803308394",0.963043587501571,1
"100001162","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","propionylcarnitine (C3)","propionylcarnitine (C3)",96904,"HMDB0000824",107738,"C03017","1.51013859869169","0.104441359081145","0.114755474322399","0.103675046396648","0.104249279307841","0.00633129137793798",0.36038298637144,1
"100001170","Amino Acid","Leucine, Isoleucine and Valine Metabolism","3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate",164207,"HMDB0000396",188979,NA,"1.27264535900187","0.17701118167804","0.00670862726225279","0.1868487639199","0.169201675285798","0.0519976107098706",0.0688693982735563,1
"100001181","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosapentaenoate (n3 DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)",NA,"HMDB0006528,HMDB0001976",6441454,"C16513","3.44223797036948","0.111924461430848","0.471226861541943","0.100254731855474","-0.0331449339142886","-0.106904155309337",0.692854878829668,1
"100001182","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","docosadienoate (22:2n6)","docosadienoate (22:2n6)",4445934,"HMDB0061714",5282807,"C16533","2.10597065637083","0.149035301255531","0.280874064220984","0.148989483235267","0.128197146063458","-0.0760066626126366",0.562398893127095,1
"100001193","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","adrenate (22:4n6)","adrenate (22:4n6)",4445971,"HMDB0002226",52828445497181,"C16527","3.5559804861605","0.109504952134053","0.500711151334231","0.0955195397115155","-0.0440899406022154","-0.100236778078579",0.696646219171022,1
"100001198","Lipid","Long Chain Monounsaturated Fatty Acid","myristoleate (14:1n5)","myristoleate (14:1n5)",4444564,"HMDB0002000",5281119,"C08322","2.13308120529993","0.0801207411146727","0.57437481063649","0.0742634703817085","0.067785288078615","-0.0427140243580908",0.74718353219149,1
"100001208","Amino Acid","Histidine Metabolism","1-methyl-4-imidazoleacetate","1-methyl-4-imidazoleacetate",68319,"HMDB0002820",75810,"C05828","4.42804031784049","0.31994189402801","5.21268427740857e-08","0.265671006133658","-0.307094492085005","-0.0897540443951296",4.07110642065609e-05,4.07110642065609e-05
"100001211","Lipid","Fatty Acid, Dicarboxylate","sebacate (C10-DC)","sebacate (C10-DC)",5004,"HMDB0000792",5192,"C08277","1.38669208053865","0.14198096465075","0.42298437444313","0.124962580207522","0.139581575379114","0.0259918860001039",0.676903629959305,1
"100001247","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","octanoylcarnitine (C8)","octanoylcarnitine (C8)",110274,"HMDB0000791",12370111953814,"C02838","0.777382530813803","0.195930333682121","0.0510675870281525","0.198187745251941","0.137428713625575","0.139649720114317",0.222814443960822,1
"100001253","Amino Acid","Glutamate Metabolism","N-acetylglutamine","N-acetylglutamine",158492,"HMDB0006029",182230,"C02716","1.66079095059489","0.118899328882875","0.0763269344899574","0.111141127773824","0.118418169005237","-0.0106858625410032",0.291422635901543,1
"100001256","Amino Acid","Phenylalanine Metabolism","N-acetylphenylalanine","N-acetylphenylalanine",67404,"HMDB0000512",74839,"C03519","1.69389506999755","0.149827386919358","0.0101124049369209","0.155228011200366","0.148693629970322","-0.0183970181641447",0.0887391938846654,1
"100001257","Amino Acid","Alanine and Aspartate Metabolism","N-acetylasparagine","N-acetylasparagine",90090,"HMDB0006028",99715,NA,"4.11979003288657","0.0508270012806129","0.328375028772005","0.0502660849878679","-0.042160586947947","-0.0283878313258345",0.599207704371346,1
"100001258","Peptide","Dipeptide","glycylleucine","glycylleucine",83812,"HMDB0000759",92843,"C02155","0.834501822096194","0.228637802700403","0.18835437207243","0.237446663983279","0.169411935879469","0.153541006917497",0.463527619699125,1
"100001259","Amino Acid","Glutathione Metabolism","S-methylglutathione","S-methylglutathione",2841309,NA,115260,"C11347","1.18849601871177","0.0546959218614427","0.439059823754297","0.0532734007710325","0.0507473657221566","0.0204046254691119",0.679021232380408,1
"100001262","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamyl-epsilon-lysine","gamma-glutamyl-epsilon-lysine",5378717,"HMDB0003869",7015685,NA,"3.94669486551876","0.025616737591611","0.887279424269587","0.0252697484719792","-0.0184671441314524","-0.0177533611596682",0.927664297663383,1
"100001263","Lipid","Lysophospholipid","1-palmitoyl-GPC (16:0)","1-palmitoyl-GPC (16:0)",78064,"HMDB0010382",86554,"C04102","0.874640272690103","0.0138459028219247","0.856525075607391","0.0141470483556759","0.0106241394113196","0.0088790025747845",0.912470820662961,1
"100001266","Amino Acid","Urea cycle; Arginine and Proline Metabolism","N-acetylarginine","N-acetylarginine",60752,"HMDB0004620",67427,"C02562","3.15810654381493","0.0296348048676467","0.668448221281795","0.0283335895811668","-0.000489363671442033","-0.0296307641268424",0.807022892948685,1
"100001270","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)","myristoylcarnitine (C14)","myristoylcarnitine (C14)",4932274,"HMDB000506",6426854,NA,"1.51338991165688","0.224469772162352","0.00458059115988289","0.23136565661188","0.2241000040524","0.0128789284621241",0.0567847888233101,1
"100001271","Lipid","Lysophospholipid","1-stearoyl-GPC (18:0)","1-stearoyl-GPC (18:0)",435389,"HMDB0010384",497300,NA,"6.21893451119734","0.0176311625182396","0.738506863939937","0.0177272467088591","-0.00113203697807472","0.0175947828638164",0.840801708964267,1
